idx,FLIP,LPIPS,SSIM,Hausdorff
311,0.0445440374314785,0.3108031451702118,0.9694253221025125,101.95096860746347
1025,0.03895260766148567,0.3738301396369934,0.9713731281168526,181.01933598375618
1587,0.04285074770450592,0.3140912652015686,0.9697944824687544,181.01933598375618
2941,0.0920766294002533,0.29242372512817383,0.9487678489337433,76.60939890117922
2980,0.04517148435115814,0.26001912355422974,0.9629083828662502,75.32595834106593
2078,0.03968485817313194,0.16641561686992645,0.9706210580486904,76.05918747922567
2281,0.053612176328897476,0.2998000979423523,0.9640628419821698,112.69871339105873
720,0.06679587066173553,0.2755340337753296,0.96082055205052,56.04462507680822
1537,0.037778422236442566,0.30599069595336914,0.9735245695458793,106.07544484940895
2493,0.03599863499403,0.28161367774009705,0.970432051631454,55.90169943749474
1716,0.040304504334926605,0.21380306780338287,0.9711612842380218,105.04284840006957
536,0.040262237191200256,0.26803576946258545,0.9668977767784334,45.27692569068709
298,0.03755466639995575,0.2511094808578491,0.9719645580546309,55.036351623268054
104,0.12946227192878723,0.24742735922336578,0.9148482366768041,181.01933598375618
1649,0.056585829704999924,0.3181699514389038,0.9605337438086025,57.62811813689564
2299,0.038616590201854706,0.31611523032188416,0.9737599060513044,101.13851887386922
1109,0.1284824162721634,0.1846977174282074,0.9375269047170073,181.01933598375618
899,0.047032713890075684,0.25750961899757385,0.9706388755287535,61.814237842102365
461,0.12261111289262772,0.3849640488624573,0.9177342430360391,96.46242791885346
2590,0.03849826753139496,0.25812143087387085,0.9729419296095316,85.70297544426332
2664,0.05155132710933685,0.19966784119606018,0.9694308739191609,181.01933598375618
983,0.05902736634016037,0.2122916579246521,0.9624672358378192,181.01933598375618
1191,0.03747853264212608,0.22192968428134918,0.9695590307281862,106.7941945987702
1003,0.040703825652599335,0.1394287347793579,0.9734259770189494,22.80350850198276
2692,0.30912140011787415,0.5357290506362915,0.7362846775906887,109.60383204979651
463,0.037646494805812836,0.34007778763771057,0.9730635483956324,62.625873247404705
1108,0.03883727267384529,0.2941524386405945,0.9706676319429338,89.69392398596462
305,0.045955680310726166,0.23753958940505981,0.9671751650724637,43.41658669218482
1014,0.03400889039039612,0.33949291706085205,0.9735573019177592,50.15974481593781
22,0.03818390145897865,0.19339120388031006,0.9724221439144065,40.11234224026316
2770,0.0711619108915329,0.33046582341194153,0.9467951106979288,181.01933598375618
1768,0.0406205914914608,0.13903386890888214,0.9737090845625298,140.85808461000738
2277,0.09271751344203949,0.37980687618255615,0.9402266924699171,75.23961722390672
1027,0.03725505247712135,0.2100481241941452,0.9730935113729698,107.70329614269008
1476,0.038254786282777786,0.08351220935583115,0.9739471647495169,18.601075237738275
762,0.03617357835173607,0.23499497771263123,0.9717392857944276,88.88756943465155
30,0.03676822781562805,0.2920636534690857,0.9706756844338685,181.01933598375618
1464,0.03543330729007721,0.20723283290863037,0.974779113262051,39.319206502675
2132,0.03456683084368706,0.29216158390045166,0.9719846815305774,50.32891812864648
1788,0.03580760210752487,0.30164065957069397,0.972958963144637,77.10382610480494
1410,0.03631170094013214,0.32372063398361206,0.9729920747015027,99.20181449953424
977,0.03535378724336624,0.30713894963264465,0.9718705633025837,104.62313319720452
961,0.03379080817103386,0.4041413962841034,0.9738525256412073,67.11929677819934
306,0.03968429937958717,0.21963466703891754,0.9707820964036697,77.87810988975015
569,0.039037205278873444,0.20509566366672516,0.9668859072688784,136.517398158623
156,0.0360308438539505,0.30628809332847595,0.9739918316450126,181.01933598375618
2850,0.032204799354076385,0.2933199107646942,0.9766071417442289,181.01933598375618
1244,0.02834395132958889,0.08011133968830109,0.9751009027838052,11.40175425099138
2126,0.04155445843935013,0.3153764307498932,0.9721627394986063,85.0411665018772
599,0.03593051806092262,0.20243117213249207,0.9724138726233814,51.478150704935004
1351,0.14876538515090942,0.296362042427063,0.9021517580573466,39.824615503479755
1230,0.03994761034846306,0.20874354243278503,0.9725669591686751,126.37246535539299
638,0.04142674058675766,0.058129146695137024,0.9747112776262753,12.0
2053,0.041408661752939224,0.22040748596191406,0.9690412201379629,84.09518416651456
615,0.09073273092508316,0.20747870206832886,0.9473480018606032,24.839484696748443
2925,0.03473678603768349,0.29506760835647583,0.9747312935681106,102.57680049601859
2160,0.13741807639598846,0.22683115303516388,0.9269188464773547,181.01933598375618
722,0.03454263508319855,0.2689914405345917,0.9721781770828407,88.76936408468859
2461,0.12812653183937073,0.30612027645111084,0.9293627964266037,59.941638282582836
2460,0.03382090479135513,0.33403024077415466,0.9729091862926023,94.76286192385707
2397,0.04174959659576416,0.25846824049949646,0.9701013930453359,46.09772228646444
2785,0.03606492280960083,0.293179452419281,0.9735160924563505,48.60041152089147
2561,0.04530451446771622,0.2891886830329895,0.9743546141552581,71.06335201775947
503,0.03959014639258385,0.24902017414569855,0.9720185542904356,57.28001396647874
2083,0.024649806320667267,0.0651320219039917,0.9815266271159566,6.4031242374328485
905,0.03705168515443802,0.2131289541721344,0.97215406921693,57.0087712549569
1530,0.05123542621731758,0.24379730224609375,0.9621085713291837,181.01933598375618
92,0.059230051934719086,0.18483109772205353,0.9688793771258583,55.731499172371095
2411,0.03435080125927925,0.25497546792030334,0.9734259319601324,50.80354318352215
1872,0.037680767476558685,0.16584134101867676,0.9713488007980553,24.596747752497688
1999,0.034124407917261124,0.2920719087123871,0.9744897604814714,57.201398584300364
1330,0.05663492903113365,0.14153432846069336,0.9680471812737275,144.04513181638595
1255,0.039705172181129456,0.18881447613239288,0.9716864304672033,43.41658669218482
2704,0.03846906125545502,0.3145383298397064,0.9741241499913894,71.30918594402827
1217,0.06176571920514107,0.2790010869503021,0.958858598076966,181.01933598375618
898,0.05898313596844673,0.28992959856987,0.9646200349202608,40.311288741492746
483,0.03451083227992058,0.2816161513328552,0.9734005560278027,100.57832768544127
1009,0.03760898485779762,0.29407504200935364,0.9732232076131693,48.27007354458868
1682,0.08234531432390213,0.3250141143798828,0.950768001780791,73.92563831310488
1827,0.04049469158053398,0.2512383759021759,0.9692994134031512,55.08175741568164
1246,0.03682636842131615,0.4179222583770752,0.9710275577557859,62.289646009589745
485,0.05722047761082649,0.2945061922073364,0.9671352269208843,65.62011886609167
643,0.040696822106838226,0.1924593150615692,0.9706568336282774,59.0
2508,0.11414636671543121,0.34743398427963257,0.9407727231166124,60.802960454241045
836,0.04890819638967514,0.294425368309021,0.9633302468369397,115.00434774390054
2619,0.03634216636419296,0.2565980553627014,0.9716137269407046,81.32035415564789
910,0.032494112849235535,0.32907530665397644,0.9765354711520807,69.6419413859206
686,0.04605633392930031,0.2190174013376236,0.970254170255941,60.8276253029822
1961,0.051818978041410446,0.2208046317100525,0.9602875164951911,125.99206324209474
600,0.046521615236997604,0.15335717797279358,0.9675040579694533,27.51363298439521
1917,0.5545889139175415,0.4919661283493042,0.5001942955036938,101.39033484509261
1303,0.03879354149103165,0.313367635011673,0.9742346087762573,98.88377015466189
850,0.04086112976074219,0.19984877109527588,0.9646701007555807,75.13321502504735
1129,0.09604637324810028,0.20480205118656158,0.951101826421206,51.03920062069938
195,0.0567694716155529,0.18444371223449707,0.9597216013234678,181.01933598375618
295,0.03641465678811073,0.30649834871292114,0.9724002499747951,57.30619512757761
663,0.036099858582019806,0.23486854135990143,0.9724194144323096,73.24616030891995
545,0.035139597952365875,0.33420953154563904,0.9715326609327023,110.13627921806692
793,0.08220689743757248,0.3354751765727997,0.9446812189884044,114.23659658795863
118,0.03654136136174202,0.19179216027259827,0.9746842121598872,54.91812087098393
2910,0.04129914194345474,0.17480000853538513,0.9695286764929834,18.681541692269406
2738,0.033482953906059265,0.3291377127170563,0.9726454256072614,92.41753080449618
981,0.08078201860189438,0.3608846664428711,0.9295166928254384,181.01933598375618
1101,0.03773472085595131,0.33655843138694763,0.9721529654622355,55.31726674375732
263,0.05317721143364906,0.23393365740776062,0.9695747366602884,56.22277118748239
1106,0.0347229540348053,0.16223742067813873,0.9725845378740218,27.073972741361768
1762,0.047878697514534,0.2037712186574936,0.9667319470442539,60.0
1259,0.03448713198304176,0.09186357259750366,0.9767608928186827,10.770329614269007
995,0.0463804267346859,0.21357667446136475,0.9648468734074619,181.01933598375618
2259,0.03940916061401367,0.3092339038848877,0.9702951486976431,59.93329625508679
1403,0.06676167994737625,0.2863931655883789,0.955496513726005,41.677331968349414
1368,0.0357881560921669,0.2719336152076721,0.971509251393155,102.55242561733974
1343,0.04009036719799042,0.10458743572235107,0.9740515531840579,21.95449840010015
2526,0.034729231148958206,0.3118400573730469,0.9702883358334905,73.35529974037323
1894,0.04993438348174095,0.2537742853164673,0.969179552296111,119.4026800369238
1453,0.10075541585683823,0.3883724808692932,0.9299250211943367,103.04368005850722
2014,0.049476541578769684,0.1777859926223755,0.9695136383139292,104.12012293500234
1560,0.05080455541610718,0.11775487661361694,0.9583447408318698,16.97056274847714
538,0.03314715251326561,0.28700998425483704,0.9752496506683279,93.30058949438637
