idx,FLIP,LPIPS,SSIM,Hausdorff
311,0.021752821281552315,0.2369808852672577,0.9806582826541539,181.01933598375618
1025,0.023015044629573822,0.339690625667572,0.9782019530484597,181.01933598375618
1587,0.029374828562140465,0.27788978815078735,0.9769840745902666,181.01933598375618
2941,0.014021040871739388,0.1672346442937851,0.9841304308590532,181.01933598375618
2980,0.025321554392576218,0.20767700672149658,0.9744148890106595,181.01933598375618
2078,0.0224913340061903,0.1209745854139328,0.9797533307849502,181.01933598375618
2281,0.013084989041090012,0.18003056943416595,0.9855220125421282,181.01933598375618
720,0.03199310973286629,0.21938908100128174,0.9693495665147216,181.01933598375618
1537,0.015031433664262295,0.22049975395202637,0.9865269671023595,181.01933598375618
2493,0.016621265560388565,0.25311750173568726,0.981489595009247,181.01933598375618
1716,0.01911102794110775,0.14048781991004944,0.9822165359029441,181.01933598375618
536,0.018476881086826324,0.2488938868045807,0.98006893753834,181.01933598375618
298,0.0160056222230196,0.216319739818573,0.9827430897649044,181.01933598375618
104,0.08491146564483643,0.2395707368850708,0.9201883253379085,181.01933598375618
1649,0.03194892033934593,0.2921270728111267,0.9697967274539588,181.01933598375618
2299,0.014120741747319698,0.23155397176742554,0.9871274214555651,181.01933598375618
1109,0.13582110404968262,0.1513349860906601,0.8922406308072602,28.284271247461902
899,0.013860280625522137,0.20617380738258362,0.98540840834417,181.01933598375618
461,0.01917092688381672,0.15722519159317017,0.9771203336667617,181.01933598375618
2590,0.01805366575717926,0.19665533304214478,0.9844662808980952,181.01933598375618
2664,0.035770926624536514,0.18869760632514954,0.9726154462693856,181.01933598375618
983,0.034938063472509384,0.16850703954696655,0.9680973352495403,181.01933598375618
1191,0.019803060218691826,0.16642609238624573,0.9789048936083429,181.01933598375618
1003,0.01447155699133873,0.15658825635910034,0.9871769646794938,181.01933598375618
2692,0.09151051938533783,0.20251606404781342,0.914330967434703,28.42534080710379
463,0.013240793719887733,0.29884958267211914,0.9865544884412053,181.01933598375618
1108,0.01603957824409008,0.23248426616191864,0.9823123188066923,181.01933598375618
305,0.025167251005768776,0.23775546252727509,0.9783243714013539,181.01933598375618
1014,0.01643335074186325,0.33293798565864563,0.9834348925747035,181.01933598375618
22,0.015794720500707626,0.16262422502040863,0.9855324424265155,181.01933598375618
2770,0.08175396919250488,0.2995995283126831,0.9372334960550471,181.01933598375618
1768,0.029699809849262238,0.062234342098236084,0.9818180913300427,181.01933598375618
2277,0.02165534347295761,0.10344198346138,0.976863489085808,181.01933598375618
1027,0.01630401238799095,0.13009776175022125,0.984769618163309,181.01933598375618
1476,0.014007766731083393,0.0915968269109726,0.9875005235626478,181.01933598375618
762,0.016920940950512886,0.18413205444812775,0.9808580116823314,181.01933598375618
30,0.02102968841791153,0.28573399782180786,0.9779451653594841,181.01933598375618
1464,0.014366294257342815,0.18972152471542358,0.9865326559088615,181.01933598375618
2132,0.01477083656936884,0.26646921038627625,0.9839859886377069,181.01933598375618
1788,0.0164451003074646,0.24504400789737701,0.9842102444791133,181.01933598375618
1410,0.013918817043304443,0.24217136204242706,0.9866214578088445,181.01933598375618
977,0.013828528113663197,0.22200128436088562,0.9853498646229827,181.01933598375618
961,0.014120782725512981,0.3565202057361603,0.9856698599334544,181.01933598375618
306,0.021517911925911903,0.18368282914161682,0.9798112706884835,181.01933598375618
569,0.029599925503134727,0.09590137004852295,0.9697592476675215,13.341664064126334
156,0.020570682361721992,0.28474870324134827,0.9802337922425236,181.01933598375618
2850,0.016621554270386696,0.26269227266311646,0.9829209415363299,181.01933598375618
1244,0.01877266727387905,0.11007289588451385,0.9806080281872006,181.01933598375618
2126,0.018836500123143196,0.2488320916891098,0.9833619726077663,181.01933598375618
599,0.01537308655679226,0.16310986876487732,0.9841999636125832,181.01933598375618
1351,0.1626053899526596,0.21413859724998474,0.893326714848233,45.27692569068709
1230,0.017908858135342598,0.13761837780475616,0.9833024447620563,181.01933598375618
638,0.01523429062217474,0.07087912410497665,0.9853009978907178,181.01933598375618
2053,0.024551481008529663,0.181837797164917,0.9769675740002558,181.01933598375618
615,0.025683466345071793,0.2898378372192383,0.9743214070506472,181.01933598375618
2925,0.014674967154860497,0.21657146513462067,0.9865402916176862,181.01933598375618
2160,0.06097225472331047,0.22322891652584076,0.9424806832001599,181.01933598375618
722,0.01456273254007101,0.20100247859954834,0.9845507029816413,181.01933598375618
2461,0.018786126747727394,0.15152311325073242,0.9777968816078594,181.01933598375618
2460,0.014177825301885605,0.2640834152698517,0.9845764437530439,181.01933598375618
2397,0.020794058218598366,0.2406252771615982,0.9804326777060458,181.01933598375618
2785,0.014828141778707504,0.2640739381313324,0.9854846190844119,181.01933598375618
2561,0.014021657407283783,0.2289402186870575,0.98808526188252,181.01933598375618
503,0.0136143509298563,0.19832675158977509,0.9862122812983628,181.01933598375618
2083,0.01624222844839096,0.06132473424077034,0.982340568082705,181.01933598375618
905,0.015394669957458973,0.17091277241706848,0.9846198273030206,181.01933598375618
1530,0.03535257279872894,0.21049578487873077,0.9687941312165073,181.01933598375618
92,0.016944644972682,0.14065934717655182,0.9829936975132472,181.01933598375618
2411,0.013987167738378048,0.2175295501947403,0.9859824150474653,181.01933598375618
1872,0.013662445358932018,0.17420953512191772,0.985978649088943,181.01933598375618
